"","site","set_name","variable","cum_elev","std_err","days"
"1","CovePoint","CP_North","t0_t1",7.08571428571429,0.839539117833201,223
"2","CovePoint","CP_North","t0_t2",4.25714285714286,0.813068528583458,420
"3","CovePoint","CP_North","t0_t3",-1.22857142857143,1.26297349173145,595
"4","CovePoint","CP_North","t0_t4",4.82857142857143,0.583362772938024,829
"5","CovePoint","CP_North","t0_t5",9.45714285714286,0.615408393667489,953
"6","CovePoint","CP_North","t0_t6",8.05714285714286,0.631049355689178,1136
"7","CovePoint","CP_North","t0",0,0,0
"8","CovePoint","CP_South","t0_t1",-6.36111111111111,2.22473568174188,223
"9","CovePoint","CP_South","t0_t2",-11.3333333333333,2.0563490531939,420
"10","CovePoint","CP_South","t0_t3",-0.694444444444444,2.24909838882389,595
"11","CovePoint","CP_South","t0_t4",-0.694444444444444,2.02595047043159,829
"12","CovePoint","CP_South","t0_t5",1.77777777777778,2.08018280298323,953
"13","CovePoint","CP_South","t0_t6",3.5,2.16373427937583,1136
"14","CovePoint","CP_South","t0",0,0,0
"15","Broadkill","BK_Set1","t0_t1",-1.83333333333333,1.7244736947282,33
"16","Broadkill","BK_Set1","t0_t2",4.83333333333333,1.41112360949346,175
"17","Broadkill","BK_Set1","t0_t3",6.22222222222222,1.80744101798916,295
"18","Broadkill","BK_Set1","t0_t4",8.63888888888889,1.17726666058436,453
"19","Broadkill","BK_Set1","t0_t5",10,1.36509782194979,538
"20","Broadkill","BK_Set1","t0_t6",13.2222222222222,1.15889322618616,672
"21","Broadkill","BK_Set1","t0_t7",12.5,1.04615698843168,819
"22","Broadkill","BK_Set1","t0_t8",15.9166666666667,1.2979684981625,1049
"23","Broadkill","BK_Set1","t0_t9",17.0277777777778,1.10947299881385,1184
"24","Broadkill","BK_Set1","t0",0,0,0
"25","Broadkill","BK_Set2","t0_t1",12.8333333333333,0.852168103246347,33
"26","Broadkill","BK_Set2","t0_t2",12.8611111111111,0.883852298385625,175
"27","Broadkill","BK_Set2","t0_t3",13.8333333333333,0.751189532864852,295
"28","Broadkill","BK_Set2","t0_t4",16.0555555555556,0.694587286896446,453
"29","Broadkill","BK_Set2","t0_t5",16.8611111111111,0.803911842455948,538
"30","Broadkill","BK_Set2","t0_t6",17.5,0.801288644661518,672
"31","Broadkill","BK_Set2","t0_t7",20.5833333333333,0.840799883708629,819
"32","Broadkill","BK_Set2","t0_t8",19.8333333333333,0.787299987197555,1049
"33","Broadkill","BK_Set2","t0_t9",25.1944444444444,0.802594448226821,1184
"34","Broadkill","BK_Set2","t0",0,0,0
"35","Broadkill","BK_Set3","t0_t1",-0.777777777777778,1.10130594275226,33
"36","Broadkill","BK_Set3","t0_t2",0.111111111111111,1.18440781384139,175
"37","Broadkill","BK_Set3","t0_t3",-0.833333333333333,1.02778850273254,295
"38","Broadkill","BK_Set3","t0_t4",5.11111111111111,0.918744638492317,453
"39","Broadkill","BK_Set3","t0_t5",4.41666666666667,0.877745126979642,538
"40","Broadkill","BK_Set3","t0_t6",4.44444444444444,1.05065697092188,672
"41","Broadkill","BK_Set3","t0_t7",9.41666666666667,1.02846394941101,819
"42","Broadkill","BK_Set3","t0_t8",9.05555555555556,0.976667840438466,1049
"43","Broadkill","BK_Set3","t0_t9",13.6944444444444,0.982238651733598,1184
"44","Broadkill","BK_Set3","t0",0,0,0
